3288494865,2020.08.04.17.31.56,17813963,赖日成,我好像碰到过这个天使 还被我骂了....,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=968797942&mode=3
3275971649,2020.08.02.13.27.18,9126035,独孤落寞只此心,排到一个1400和1800的奶，给我气的脑溢血[doge],https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=968797942&mode=3
3257499213,2020.07.30.05.02.16,179389852,迷蒙姜饼,奶位玩家表示除了特定阵容双飞和堡垒最烦另外一个奶掏个天使出来，天使真的弱比莫伊拉还弱，学点其他的奶吧为什么要学弱的离谱的天使,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=968797942&mode=3
3257508677,2020.07.30.05.14.20,179389852,迷蒙姜饼,没奶没控功能性弱，拿个天使出来输一半,https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=968797942&mode=3&root=3257499213&type=1
3288408972,2020.08.04.17.14.52,4868641,幽灵小喵,主安娜，一打就是十个小时，中间玩累了就换天使莫姨休息一下[妙啊],https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=968797942&mode=3&root=3257499213&type=1
3288547100,2020.08.04.17.39.04,179389852,迷蒙姜饼,回复 @幽灵小喵 :小锤她不香吗[doge],https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=968797942&mode=3&root=3257499213&type=1
3288616229,2020.08.04.17.52.30,4868641,幽灵小喵,回复 @糯米不好吃- :小锤要闪盾啊！,https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=968797942&mode=3&root=3257499213&type=1
3314848203,2020.08.09.03.15.06,33139247,Deruai,要看分段，黄金白银局双c拿源氏回声这种飞来飞去上窜下跳的英雄，指望安娜巴蒂能奶住比较难，往往丝血直接回来看着队友空奶暴毙，有个天使接着要好很多，并且在低端局开团前很容易暴毙一两个，能及时把人数拉平也很重要。白金在往上天使确实很鸡肋了，混就完事了。,https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=968797942&mode=3&root=3257499213&type=1
3244193408,2020.07.27.18.08.13,38252628,小天狼星克洛伊,"我想把这视频发给@救世天使安吉拉看看……算了不理那货……
目前是3000分奶位，主安娜副天使，稳定1.1w奶和5左右死亡，我感觉天使是很吃另一个奶位的强度。另一个奶位够强才能多给蓝线，经常的情况是我一直是主蓝线，但奶金还在我手里。",https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=968797942&mode=3
3244252163,2020.07.27.18.18.23,4890593,阿盐是只喵,别发别发哈哈哈哈我不想奇葩来我的视频里bb,https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=968797942&mode=3&root=3244193408&type=1
3230221305,2020.07.24.23.50.38,20607980,暴躁守望人,"话说，玩天使的乐趣不就在于飞来飞去的么，怎么会有人不喜欢飞🤔，飞起来躲技能，调戏狙位和76，人群中拉起队友（刺激），女武神biubiubiu，这多好玩哇
（认真打比赛的当我没说）",https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=968797942&mode=3
3204438001,2020.07.20.07.33.26,28715781,游标卡尺咔哧,好温柔 喜欢[打call],https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=968797942&mode=3
3175985863,2020.07.14.12.52.11,15737411,御坂17826号,萌新问一下垂直飞怎么飞的[灵魂出窍],https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=968797942&mode=3
3176020733,2020.07.14.13.00.29,4890593,阿盐是只喵,shift和蹲同时按，飞得差不多了再按一下空格。具体在b站搜一下有很多详细教程哦！,https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=968797942&mode=3&root=3175985863&type=1
3176776832,2020.07.14.16.31.06,15737411,御坂17826号,回复 @Shioko阿盐子 :好的，谢谢啦,https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=968797942&mode=3&root=3175985863&type=1
3173540330,2020.07.13.21.55.07,24051526,尾流sillage,看得好难受……这个宝贝的大开慢了，我想帮她开，真的很难受,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=968797942&mode=3
3169234383,2020.07.12.23.08.35,12432399,躺在稻草堆数星星,低段位天使常见问题:1.喜欢贴脸奶人，降低了shift利用率。2.脑里没有优先级，就谁都想奶。3.不懂利用shift延伸技巧进行走位或者占据有利位置。4.不懂得卡视野奶人，或者利用队友躲输出。视屏里的天使没人追着切，不然就这贴脸奶加不熟练的垂直飞，死亡次数怕是数不过来，而天使死了，这局的锤妹也撑不起奶量，直接崩盘。,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=968797942&mode=3
3197356168,2020.07.18.19.24.48,346425350,CherylDreams,低分段就算会了这些也不一定能上分[OK],https://api.bilibili.com/x/v2/reply/reply?pn=1&type=1&oid=968797942&mode=3&root=3169234383&type=1
3167111738,2020.07.12.15.44.50,4263087,_庄生晓梦迷蝴蝶_,我就是因为垂直飞一直不会放弃了天使[大哭],https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=968797942&mode=3
